Original Text,True Label,Predicted Label,Confidence Score
อยากได้พลังบวก,encouragement,advice,0.3687185416145698
กำลังร้องไห้หนักมาก,crisis_support,calming,0.2991135419074306
อยากจัดการอารมณ์ตัวเอง,advice,crisis_support,0.40587082374956135
อยากพูดออกมาบ้าง,listener,encouragement,0.3494769105818966
อยากหยุดความฟุ้งซ่าน,calming,listener,0.3495385433433754
การดูแลตัวเองทางใจทำยังไง,information,advice,0.3472775088515421
รู้สึกควบคุมตัวเองไม่ได้,calming,crisis_support,0.7087301581920521
เหงื่อแตกทั้งที่ไม่ได้ร้อน,calming,encouragement,0.2955937200275527
ช่วยคิดหน่อยได้ไหม,advice,encouragement,0.31640755231833023
ทำไมถึงนอนไม่หลับเวลาเครียด,information,calming,0.617639385523518
ควรขอความช่วยเหลือจากใครดี,advice,crisis_support,0.5274761539120136
