text,label
เครียดเรื่องเรียน,academic
อ่านหนังสือไม่ทัน,academic
กลัวสอบตก,academic
คะแนนตกหนักมาก,academic
เรียนไม่เข้าใจเลย,academic
ทำการบ้านไม่ทัน,academic
กดดันเรื่องเกรด,academic
สอบใกล้เข้ามาแล้วเครียดมาก,academic
ตามเพื่อนไม่ทัน,academic
เรียนออนไลน์ไม่รู้เรื่อง,academic
ไม่มีสมาธิอ่านหนังสือ,academic
กลัวเรียนไม่จบ,academic
โปรเจกต์เยอะมาก,academic
โดนอาจารย์กดดัน,academic
งานกลุ่มมีปัญหา,academic
พรีเซนต์งานแล้วตื่นเต้นมาก,academic
ไม่รู้จะเลือกคณะอะไร,academic
กลัวสอบไม่ผ่าน,academic
เรียนหนักจนเหนื่อย,academic
ทำวิจัยไม่ทัน,academic
การบ้านกองเต็มไปหมด,academic
สอบแล้วทำไม่ได้เลย,academic
อ่านหนังสือแล้วจำไม่ได้,academic
เรียนไม่ทันเพื่อน,academic
เครียดกับมหาลัย,academic
เลือกสายเรียนไม่ถูก,academic
กลัวโดนรีไทร์,academic
ฝึกงานกดดันมาก,academic
เรียนกับงานไปพร้อมกันไม่ไหว,academic
ไม่รู้จะจัดการเวลาเรียนยังไง,academic
สอบไม่ผ่าน,academic
งานส่งไม่ทัน,academic
เกรดตก,academic
โปรเจกต์,academic
วิจัย,academic
อาจารย์,academic
วิชา,academic

เครียดเรื่องงาน,work
งานเยอะมาก,work
โดนหัวหน้ากดดัน,work
หมดไฟกับงาน,work
ทำงานไม่ทันเดดไลน์,work
รู้สึกไม่เก่งพอในการทำงาน,work
กลัวโดนไล่ออก,work
ทำงานผิดพลาดบ่อย,work
เหนื่อยกับที่ทำงาน,work
ไม่อยากไปทำงาน,work
เพื่อนร่วมงาน toxic,work
ทำโอทีทุกวันจนเหนื่อย,work
งานกองเต็มโต๊ะ,work
ไม่มี work life balance เลย,work
เครียดเรื่องสัมภาษณ์งาน,work
หางานไม่ได้เลย,work
ตกงานอยู่ตอนนี้,work
รู้สึกไม่มั่นคงเรื่องงาน,work
ทำงานหนักแต่ไม่คุ้มค่า,work
ไม่ชอบงานที่ทำอยู่,work
กลัวปรับตัวกับงานใหม่ไม่ได้,work
งานกดดันจนร้องไห้,work
ประชุมเยอะจนล้า,work
หัวหน้าไม่เข้าใจเรา,work
รู้สึกโดดเดี่ยวในที่ทำงาน,work
ทำงานจนไม่มีเวลาพัก,work
ไม่รู้จะลาออกดีไหม,work
เงินเดือนน้อยเกินไป,work
เครียดกับโปรเจกต์ที่รับผิดชอบ,work
ไม่มีแรงทำงานแล้ว,work

วันนี้อากาศดี,none
กินไรดี,none
หิวข้าว,none
ไปเที่ยวกัน,none
กินข้าวหรือยัง,none
ขอบคุณนะ,none
สวัสดีครับ,none
ฝนตกอีกแล้ว,none
วันนี้เหนื่อยนิดหน่อย,none
ไปเที่ยวกันไหม,none
ดูหนังกัน,none
วันนี้กินข้าวกับใครดี,none
เพลงนี้เพราะจัง,none
ดูหนังเรื่องอะไรดีคืนนี้,none
แมวที่บ้านน่ารักมาก,none
วันนี้อากาศแจ่มใสดี,none
ไปเที่ยวทะเลกันไหม,none
กาแฟร้านนี้อร่อยมาก,none
ขอบคุณที่คุยด้วยนะ,none
สวัสดีตอนเช้าครับ,none

มีปัญหากับแฟน,relationship
ทะเลาะกับแฟนบ่อยมาก,relationship
แฟนไม่เข้าใจเรา,relationship
โดนแฟนเมิน,relationship
รู้สึกห่างกับแฟน,relationship
แฟนนอกใจ,relationship
เลิกกับแฟนแล้วเสียใจมาก,relationship
คิดถึงแฟนเก่า,relationship
ความสัมพันธ์ไม่เหมือนเดิม,relationship
แฟนไม่สนใจเลย,relationship
ทะเลาะกันทุกวัน,relationship
ไม่มั่นใจในความสัมพันธ์,relationship
แฟนตอบแชทช้ามาก,relationship
กลัวโดนทิ้ง,relationship
รู้สึกไม่มีค่าในสายตาแฟน,relationship
รักกันแต่เข้ากันไม่ได้,relationship
โดนบอกเลิก,relationship
ไม่รู้จะไปต่อหรือพอแค่นี้,relationship
แฟนชอบหายไป,relationship
ความรักทำให้เหนื่อยมาก,relationship
รู้สึกโดดเดี่ยวทั้งที่มีแฟน,relationship
แฟนไม่รับฟังเลย,relationship
ระแวงว่าแฟนจะมีคนอื่น,relationship
ทะเลาะเรื่องเดิมซ้ำๆ,relationship
แฟนเปลี่ยนไปมาก,relationship
ครอบครัวแฟนไม่ชอบเรา,relationship
กลัวเสียเขาไป,relationship
รู้สึกไม่ปลอดภัยในความสัมพันธ์,relationship
รักครั้งนี้ทำให้เจ็บมาก,relationship
แฟนไม่ให้เวลาเลย,relationship

มีปัญหากับครอบครัว,family
ทะเลาะกับพ่อแม่,family
ครอบครัวกดดันมาก,family
พ่อแม่คาดหวังสูงเกินไป,family
อยู่บ้านแล้วอึดอัด,family
ไม่มีใครเข้าใจเราในบ้าน,family
โดนเปรียบเทียบกับคนอื่น,family
ปัญหาที่บ้านเยอะมาก,family
ทะเลาะกับพี่น้อง,family
ครอบครัวไม่รับฟัง,family
รู้สึกโดดเดี่ยวในบ้าน,family
พ่อแม่ชอบบังคับ,family
ไม่อยากกลับบ้าน,family
มีปัญหาเรื่องเงินในครอบครัว,family
พ่อแม่ทะเลาะกันทุกวัน,family
แบกรับภาระครอบครัว,family
ครอบครัวไม่สนับสนุนเรา,family
เครียดเรื่องคนในบ้าน,family
ไม่มีพื้นที่ส่วนตัวเลย,family
รู้สึกเป็นภาระของครอบครัว,family
ที่บ้านเข้มงวดเกินไป,family
โดนดุทุกวัน,family
รู้สึกไม่มีใครอยู่ข้างเรา,family
ไม่กล้าคุยกับคนในบ้าน,family
ครอบครัวทำให้เครียด,family
พ่อแม่ไม่เข้าใจความรู้สึก,family
อยู่บ้านแล้วไม่มีความสุข,family
กดดันจากญาติ,family
ครอบครัวมีปัญหาตลอด,family
ไม่อยากมีปัญหากับที่บ้านอีก,family

กังวลเรื่องเงิน,financial
เงินไม่พอใช้,financial
มีหนี้เยอะมาก,financial
เครียดเรื่องค่าใช้จ่าย,financial
หาเงินไม่ทันใช้,financial
รายรับไม่พอรายจ่าย,financial
ไม่มีเงินจ่ายค่าเทอม,financial
เงินเดือนหมดเร็วมาก,financial
กังวลเรื่องหนี้สิน,financial
ไม่มีเงินเก็บเลย,financial
ค่าใช้จ่ายเยอะเกินไป,financial
อยากมีรายได้เพิ่ม,financial
เศรษฐกิจแย่มาก,financial
ต้องประหยัดทุกอย่าง,financial
ไม่มีเงินซื้อของจำเป็น,financial
เครียดเรื่องค่าห้อง,financial
เงินช็อตหนักมาก,financial
โดนทวงหนี้,financial
ค่าใช้จ่ายในบ้านสูงมาก,financial
กลัวไม่มีเงินในอนาคต,financial
หมุนเงินไม่ทัน,financial
ไม่มีเงินกินข้าวแล้ว,financial
กังวลเรื่องภาระทางการเงิน,financial
ทำงานหนักแต่เงินไม่พอ,financial
รู้สึกติดอยู่กับปัญหาเงิน,financial
ค่าใช้จ่ายฉุกเฉินเยอะมาก,financial
เก็บเงินไม่ได้เลย,financial
ใช้เงินเดือนชนเดือนตลอด,financial
เครียดเรื่องค่ารักษา,financial
ไม่รู้จะหาเงินจากไหนเพิ่ม,financial
เงินเดือน,financial
ค่าใช้จ่าย,financial
ค่าเช่า,financial
หนี้,financial
ค่ากิน,financial
ค่ารถ,financial

รู้สึกเหงามาก,social
ไม่มีเพื่อนเลย,social
เข้ากับคนอื่นไม่ได้,social
รู้สึกโดดเดี่ยว,social
ไม่มีใครคุยด้วย,social
ไม่กล้าเข้าสังคม,social
กลัวคนอื่นไม่ชอบ,social
รู้สึกเป็นคนนอก,social
ไม่มีคนเข้าใจ,social
เข้ากับเพื่อนไม่ได้,social
โดนเมินจากกลุ่มเพื่อน,social
ไม่มีใครชวนไปไหน,social
รู้สึกแปลกแยก,social
คุยกับคนไม่เก่ง,social
ไม่มั่นใจเวลาเจอคนเยอะๆ,social
กลัวโดนตัดสิน,social
โดนเพื่อนนินทา,social
ไม่มีที่ยืนในสังคม,social
ไม่กล้าแสดงความเห็น,social
กลัวเข้าสังคม,social
รู้สึกไม่มีตัวตน,social
ไม่รู้จะเริ่มคุยยังไง,social
เพื่อนไม่ค่อยสนใจ,social
โดนแกล้งที่โรงเรียน,social
กลัวถูกปฏิเสธ,social
ไม่มีเพื่อนสนิท,social
อยู่กับคนอื่นแล้วอึดอัด,social
รู้สึกเข้ากับใครไม่ได้,social
โดนทิ้งให้อยู่คนเดียว,social
ไม่กล้าเจอผู้คน,social

ปัญหาสุขภาพ,health
นอนไม่หลับมาหลายวัน,health
ปวดหัวบ่อยมาก,health
สุขภาพแย่ลงเรื่อยๆ,health
กินข้าวไม่ลง,health
เหนื่อยง่ายผิดปกติ,health
ป่วยบ่อยมาก,health
กังวลเรื่องสุขภาพ,health
ปวดท้องเพราะเครียด,health
พักผ่อนน้อยมาก,health
ร่างกายไม่ไหวแล้ว,health
รู้สึกไม่มีแรงตลอดเวลา,health
น้ำหนักลดผิดปกติ,health
นอนเยอะแต่ไม่หายเหนื่อย,health
เครียดจนร่างกายรวน,health
ใจสั่นบ่อย,health
หายใจไม่ทั่วท้อง,health
สุขภาพจิตแย่มาก,health
ปวดไมเกรนหนัก,health
กินไม่เป็นเวลาเลย,health
นอนไม่เป็นเวลา,health
เครียดจนป่วย,health
สุขภาพพังเพราะงาน,health
ร่างกายล้าเกินไป,health
มีอาการแพนิคบ่อย,health
รู้สึกไม่แข็งแรงเลย,health
พักผ่อนยังไงก็ไม่ดีขึ้น,health
กลัวตัวเองป่วยหนัก,health
เครียดจนปวดอก,health
สุขภาพเริ่มมีปัญหา,health
ไม่มีเวลาดูแลตัวเอง,health

ไม่มั่นใจในตัวเอง,self_esteem
รู้สึกตัวเองไม่ดีพอ,self_esteem
เกลียดตัวเอง,self_esteem
ไม่มีความมั่นใจ,self_esteem
รู้สึกไร้ค่า,self_esteem
เปรียบเทียบตัวเองกับคนอื่น,self_esteem
คิดว่าตัวเองล้มเหลว,self_esteem
ไม่ชอบตัวเองเลย,self_esteem
รู้สึกด้อยกว่าคนอื่น,self_esteem
ไม่กล้าทำอะไรใหม่,self_esteem
รู้สึกไม่มีความสามารถ,self_esteem
คิดว่าตัวเองน่าผิดหวัง,self_esteem
ไม่มั่นใจเวลาพูดกับคนอื่น,self_esteem
รู้สึกไม่เก่งอะไรเลย,self_esteem
กลัวทำผิด,self_esteem
รู้สึกเป็นภาระ,self_esteem
ไม่กล้าตัดสินใจ,self_esteem
ไม่เชื่อมั่นในตัวเอง,self_esteem
คิดว่าตัวเองไม่มีค่า,self_esteem
ไม่กล้าลองสิ่งใหม่,self_esteem
รู้สึกว่าตัวเองแย่,self_esteem
กลัวคนอื่นมองไม่ดี,self_esteem
ไม่ภูมิใจในตัวเอง,self_esteem
รู้สึกแพ้คนอื่นตลอด,self_esteem
ไม่กล้าพูดในที่สาธารณะ,self_esteem
คิดว่าตัวเองไม่สำคัญ,self_esteem
รู้สึกตัวเล็กมาก,self_esteem
ไม่กล้าสบตาใคร,self_esteem
ไม่ชอบหน้าตาตัวเอง,self_esteem
รู้สึกไม่มีจุดเด่นเลย,self_esteem
มองตัวเองในกระจกแล้วรู้สึกแย่ทุกครั้ง,self_esteem
รู้สึกว่าตัวเองไม่เก่งพอในทุกเรื่อง,self_esteem
เปรียบเทียบตัวเองกับคนอื่นแล้วรู้สึกด้อยค่า,self_esteem
ไม่เชื่อว่าตัวเองจะทำอะไรสำเร็จได้เลย,self_esteem
รู้สึกว่าตัวเองไม่คู่ควรกับสิ่งดีๆ,self_esteem
คิดว่าตัวเองเป็นคนล้มเหลวตลอดเวลา,self_esteem
รู้สึกอายตัวเองทุกครั้งที่ทำอะไรผิดพลาด,self_esteem
ไม่เห็นข้อดีอะไรในตัวเองเลย,self_esteem
รู้สึกว่าความพยายามของตัวเองไม่มีค่า,self_esteem
มองไม่เห็นจุดแข็งของตัวเองสักอย่าง,self_esteem
รู้สึกว่าตัวเองไม่ดีพอสำหรับใครเลย,self_esteem
คิดลบกับตัวเองอยู่ตลอดเวลา,self_esteem
รู้สึกผิดหวังในตัวเองทุกครั้งที่มองย้อนกลับไป,self_esteem
ไม่มั่นใจในความสามารถของตัวเองเลยสักนิด,self_esteem
รู้สึกว่าตัวเองต่ำต้อยกว่าคนรอบข้างเสมอ,self_esteem


เครียดเพราะอ่านหนังสือไม่ทันก่อนสอบ,academic
กลัวว่าจะสอบไม่ผ่านวิชาที่เรียนอยู่,academic
ตามบทเรียนไม่ทันจนรู้สึกกดดัน,academic
งานวิชาที่อาจารย์สั่งเยอะจนจัดการไม่ไหว,academic
กังวลเรื่องคะแนนสอบที่กำลังจะประกาศ,academic
ต้องทำรายงานส่งหลายวิชาพร้อมกัน,academic
อ่านหนังสือแล้วจำเนื้อหาไม่ได้เลย,academic
เรียนวิชายากจนไม่รู้จะเริ่มทำความเข้าใจตรงไหน,academic
ใกล้สอบแล้วแต่ยังอ่านเนื้อหาไม่ครบ,academic
เครียดกับโปรเจกต์ที่ต้องส่งอาจารย์,academic
