Original Text,True Label,Predicted Label,Confidence Score
ทะเลาะกับพี่น้อง,family,relationship,0.5114746123141443
กังวลเวลาต้องพูดต่อหน้าคนอื่น,social,self_esteem,0.5193511070059298
รู้สึกเหงามาก,social,self_esteem,0.39701047748013335
เครียดกับโปรเจกต์ที่รับผิดชอบ,work,academic,0.6871766462100344
ไม่กล้าสบตาใคร,self_esteem,social,0.353822364000273
การบ้านกองเต็มไปหมด,academic,work,0.43294236028419614
รู้สึกไม่มีแรงตลอดเวลา,health,self_esteem,0.416244904486563
ต้องประหยัดทุกอย่าง,financial,work,0.3464520725151784
เรียนกับงานไปพร้อมกันไม่ไหว,academic,work,0.552053822202635
งานกลุ่มมีปัญหา,academic,work,0.46034184700340386
กลัวตัวเองป่วยหนัก,health,self_esteem,0.5539084801923617
แมวที่บ้านน่ารักมาก,none,family,0.6299607114004913
กินข้าวไม่ลง,health,none,0.5126499962387017
ไม่กล้าพูดในที่ประชุมเพราะกลัวคนอื่นมองไม่ดี,social,self_esteem,0.6214263811051624
ไม่กล้าตัดสินใจ,self_esteem,social,0.585369742172504
